CountryCode,Country,SeriesCode,MDG,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
50,Bangladesh,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",106.0,102.0,97.0,93.0,90.0,91.0,89.0,90.0,92.0,91.0,88.0,86.0,84.0,81.0,78.0,76.0,74.0,73.0,73.0,72.0,71.0,69.0,68.0,69.0
52,Barbados,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",0.0,0.4,0.8,0.8,2.4,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.4,0.4,0.8,0.8,0.8,1.1,0.4,0.4,0.4,0.4,0.7,0.7
52,Barbados,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",0.0,0.4,0.8,0.8,2.3,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.8,0.7,0.7,1.1,0.4,0.4,0.4,0.4,0.7,0.7
52,Barbados,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",0.0,0.4,0.8,0.8,2.4,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.4,0.4,0.8,0.8,0.8,1.1,0.4,0.4,0.4,0.4,0.7,0.7
112,Belarus,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",4.9,5.0,4.8,5.7,5.9,7.5,7.0,7.6,7.9,9.9,8.1,9.1,11.0,12.0,11.0,11.0,11.0,11.0,9.9,9.0,9.1,9.1,9.1,9.1
112,Belarus,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",4.6,4.6,4.5,5.3,5.4,6.9,6.6,7.0,7.4,9.3,7.6,8.7,10.0,11.0,11.0,10.0,10.0,9.8,9.3,8.5,8.5,8.5,8.5,8.5
112,Belarus,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",5.2,5.4,5.2,6.2,6.4,8.1,7.5,8.3,8.4,11.0,8.5,9.6,11.0,12.0,12.0,12.0,12.0,11.0,11.0,9.6,9.8,9.8,9.8,9.8
56,Belgium,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",1.0,0.8,1.1,1.1,1.2,1.0,1.1,0.8,0.8,0.9,0.8,0.7,0.6,0.5,0.4,0.6,0.4,0.5,0.5,0.3,0.3,0.3,0.2,0.2
56,Belgium,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",1.0,0.8,1.0,1.1,1.1,1.0,1.1,0.8,0.8,0.9,0.8,0.7,0.6,0.5,0.4,0.6,0.4,0.5,0.5,0.3,0.2,0.3,0.2,0.2
56,Belgium,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",1.0,0.8,1.1,1.2,1.2,1.0,1.1,0.8,0.9,0.9,0.8,0.7,0.6,0.5,0.4,0.6,0.4,0.5,0.5,0.4,0.3,0.3,0.2,0.2
84,Belize,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",2.5,9.6,5.0,2.6,6.4,3.5,8.0,7.0,19.0,8.6,3.9,8.8,6.9,5.9,2.8,2.2,5.9,2.9,5.2,4.4,4.3,5.9,5.9,5.9
84,Belize,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",1.9,7.8,4.2,2.2,5.1,3.1,6.5,6.7,18.0,7.9,3.8,8.4,6.8,5.9,2.7,2.2,5.8,2.8,5.1,4.3,4.2,5.9,5.9,5.9
84,Belize,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",3.1,12.0,5.8,2.9,7.8,3.8,9.7,7.4,19.0,9.3,3.9,9.1,7.0,6.0,2.8,2.2,5.9,2.9,5.2,4.4,4.3,6.0,6.0,6.0
204,Benin,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",37.0,34.0,32.0,29.0,27.0,25.0,24.0,22.0,21.0,20.0,19.0,17.0,16.0,15.0,13.0,13.0,12.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0
204,Benin,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",25.0,23.0,22.0,21.0,19.0,18.0,17.0,17.0,15.0,14.0,13.0,12.0,11.0,10.0,9.2,8.4,8.0,7.8,7.7,7.6,7.6,7.6,7.5,7.3
204,Benin,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",46.0,42.0,38.0,35.0,32.0,30.0,28.0,26.0,26.0,24.0,23.0,21.0,19.0,18.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,17.0
60,Bermuda,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",0.0,0.0,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Bermuda,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",0.0,0.0,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Bermuda,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",0.0,0.0,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Bhutan,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",277.0,257.0,235.0,212.0,188.0,164.0,142.0,125.0,110.0,99.0,90.0,83.0,78.0,73.0,68.0,62.0,55.0,48.0,40.0,32.0,26.0,20.0,15.0,12.0
64,Bhutan,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",191.0,178.0,164.0,148.0,132.0,115.0,99.0,85.0,74.0,66.0,59.0,55.0,51.0,48.0,45.0,41.0,37.0,32.0,27.0,21.0,16.0,12.0,9.2,6.9
64,Bhutan,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",326.0,306.0,283.0,257.0,228.0,199.0,174.0,153.0,136.0,122.0,112.0,104.0,98.0,92.0,85.0,79.0,71.0,62.0,53.0,43.0,35.0,30.0,26.0,23.0
68,Bolivia,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",7.9,7.6,7.4,7.1,6.8,6.6,6.3,6.1,5.8,5.7,5.5,5.4,5.2,5.1,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.0
68,Bolivia,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",2.1,2.2,2.2,2.4,2.6,3.0,2.7,2.6,2.5,2.4,2.3,2.3,2.2,2.1,2.1,2.0,2.0,1.9,1.9,1.9,1.8,1.8,1.8,1.7
68,Bolivia,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",18.0,16.0,16.0,14.0,13.0,12.0,12.0,11.0,11.0,10.0,10.0,9.9,9.6,9.2,8.9,8.7,8.6,8.4,8.2,8.0,7.8,7.6,7.4,7.3
70,Bosnia and Herzegovina,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",6.6,7.0,6.9,6.7,6.6,6.5,6.4,6.3,6.2,6.1,6.0,5.9,5.8,5.7,5.6,5.5,5.4,5.4,5.3,5.2,5.1,5.0,4.9,4.9
70,Bosnia and Herzegovina,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",6.3,6.6,6.5,6.4,6.3,6.2,6.0,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.2,5.1,5.0,4.9,4.8,4.7,4.6,4.5,4.4,4.4
70,Bosnia and Herzegovina,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",6.9,7.3,7.2,7.1,7.0,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.2,6.2,6.1,6.0,5.9,5.8,5.8,5.7,5.6,5.5,5.4,5.4
72,Botswana,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",127.0,130.0,131.0,128.0,120.0,108.0,94.0,82.0,72.0,64.0,57.0,51.0,44.0,40.0,36.0,34.0,32.0,30.0,27.0,27.0,26.0,24.0,23.0,22.0
72,Botswana,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",65.0,77.0,88.0,87.0,79.0,70.0,61.0,52.0,50.0,44.0,38.0,33.0,29.0,27.0,24.0,21.0,19.0,18.0,17.0,17.0,16.0,15.0,15.0,14.0
72,Botswana,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",219.0,203.0,183.0,165.0,158.0,142.0,118.0,97.0,87.0,79.0,71.0,63.0,56.0,50.0,47.0,45.0,42.0,38.0,35.0,35.0,34.0,32.0,32.0,31.0
76,Brazil,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",5.4,5.4,5.2,5.4,5.5,5.3,5.0,5.0,5.0,4.9,4.4,4.2,3.9,3.7,3.5,3.1,3.0,2.9,3.0,2.9,2.8,2.5,2.3,2.2
76,Brazil,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",4.1,4.1,4.0,4.2,4.3,4.2,4.0,4.0,4.1,3.9,3.6,3.5,3.2,3.1,3.0,2.8,2.8,2.7,2.7,2.7,2.6,2.4,2.3,1.3
76,Brazil,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",7.0,6.9,6.6,6.8,6.8,6.6,6.1,6.1,6.1,5.9,5.3,5.0,4.6,4.3,4.1,3.5,3.3,3.2,3.2,3.1,3.0,2.6,2.4,3.4
92,British Virgin Islands,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",0.0,0.0,0.0,0.0,0.0,5.5,5.4,5.3,5.3,5.0,5.3,4.8,4.9,4.7,4.6,4.6,4.5,4.2,3.9,4.1,4.1,4.1,4.1,4.1
92,British Virgin Islands,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",0.0,0.0,0.0,0.0,0.0,5.5,5.3,5.2,5.2,5.0,5.1,4.8,4.7,4.6,4.5,4.4,4.3,4.1,3.9,3.9,4.0,4.0,4.0,4.0
92,British Virgin Islands,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",0.0,0.0,0.0,0.0,0.0,5.5,5.4,5.4,5.3,5.0,5.5,4.9,5.0,4.8,4.7,4.7,4.7,4.3,3.9,4.4,4.3,4.3,4.3,4.3
96,Brunei Darussalam,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",3.0,3.0,3.0,3.0,3.0,3.0,2.4,4.9,1.3,2.4,4.9,4.1,3.1,2.7,3.5,3.4,2.8,2.5,2.5,3.3,3.5,1.1,3.0,3.0
96,Brunei Darussalam,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",2.9,2.9,2.9,2.9,2.9,2.9,2.2,4.7,1.3,2.3,4.7,4.0,3.0,2.6,3.4,3.3,2.7,2.4,2.2,3.0,3.2,1.0,2.9,2.9
96,Brunei Darussalam,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",3.2,3.2,3.2,3.2,3.2,3.2,2.6,5.1,1.3,2.5,5.0,4.3,3.1,2.7,3.6,3.5,2.8,2.6,2.7,3.6,3.8,1.2,3.1,3.1
100,Bulgaria,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",2.5,2.7,3.3,3.6,4.0,4.2,4.3,4.9,4.8,3.8,4.2,3.8,3.8,3.7,3.6,3.6,3.5,3.6,3.1,2.6,2.8,2.4,2.3,2.1
100,Bulgaria,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",2.4,2.6,3.2,3.4,3.9,4.1,4.2,4.8,4.6,3.7,4.1,3.7,3.7,3.6,3.5,3.6,3.4,3.6,3.1,2.6,2.7,2.3,2.3,2.0
100,Bulgaria,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",2.5,2.8,3.4,3.7,4.1,4.2,4.4,5.1,4.9,3.9,4.3,3.9,3.8,3.8,3.7,3.7,3.5,3.7,3.2,2.7,2.8,2.4,2.4,2.1
854,Burkina Faso,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",26.0,24.0,23.0,22.0,21.0,21.0,20.0,19.0,18.0,18.0,17.0,16.0,16.0,15.0,15.0,14.0,14.0,13.0,12.0,12.0,11.0,10.0,9.5,8.9
854,Burkina Faso,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",18.0,17.0,16.0,16.0,15.0,15.0,14.0,14.0,13.0,13.0,12.0,12.0,11.0,11.0,11.0,10.0,9.6,8.9,8.5,8.0,7.4,6.9,6.3,5.7
854,Burkina Faso,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",32.0,30.0,27.0,26.0,24.0,23.0,23.0,22.0,22.0,21.0,20.0,20.0,19.0,19.0,18.0,17.0,17.0,16.0,15.0,15.0,14.0,13.0,13.0,12.0
108,Burundi,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",37.0,51.0,67.0,82.0,94.0,101.0,102.0,98.0,91.0,82.0,73.0,64.0,57.0,50.0,44.0,40.0,36.0,32.0,30.0,28.0,26.0,25.0,24.0,22.0
108,Burundi,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",27.0,37.0,48.0,59.0,67.0,71.0,72.0,70.0,65.0,59.0,53.0,46.0,41.0,36.0,31.0,28.0,25.0,22.0,20.0,19.0,18.0,17.0,16.0,15.0
108,Burundi,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",50.0,65.0,80.0,94.0,107.0,113.0,115.0,113.0,107.0,100.0,89.0,79.0,70.0,61.0,54.0,48.0,43.0,40.0,37.0,35.0,33.0,32.0,30.0,29.0
116,Cambodia,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",207.0,202.0,197.0,193.0,188.0,185.0,182.0,180.0,177.0,172.0,166.0,157.0,146.0,135.0,123.0,112.0,102.0,94.0,86.0,79.0,74.0,70.0,68.0,66.0
116,Cambodia,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",140.0,140.0,138.0,136.0,134.0,134.0,135.0,135.0,132.0,127.0,121.0,114.0,105.0,95.0,85.0,77.0,69.0,63.0,58.0,54.0,50.0,47.0,44.0,42.0
